Home,Away,Odds_1,Odds_X,Odds_2
Arsenal,Everton,1.22,7.41,12.54
Brentford,Newcastle,2.99,4.02,2.20
Brighton,Manchester Utd,2.63,4.04,2.45
Burnley,Nottingham,2.92,3.83,2.33
Chelsea,Bournemouth,1.41,5.56,6.94
Crystal Palace,Aston Villa,1.66,4.56,4.76
Liverpool,Wolves,1.14,10.21,16.88
Luton,Fulham,3.08,3.97,2.19
Manchester City,West Ham,1.08,15.01,27.04
Sheffield Utd,Tottenham,7.64,6.03,1.36
Manchester Utd,Newcastle,2.74,4.00,2.40
Brighton,Chelsea,3.29,4.12,2.07
Tottenham,Manchester City,6.74,6.23,1.38
Aston Villa,Liverpool,3.86,4.64,1.80
Manchester Utd,Arsenal,9.16,6.21,1.31
Nottingham,Chelsea,4.11,4.02,1.85
Bournemouth,Brentford,2.12,3.91,3.28
Everton,Sheffield Utd,1.44,5.10,7.13
Newcastle,Brighton,1.60,4.81,4.95
Tottenham,Burnley,1.33,6.33,8.01
Fulham,Liverpool,4.59,4.43,1.69
Aston Villa,Bournemouth,1.86,4.10,3.97
Crystal Palace,West Ham,2.24,3.52,3.28
Everton,Nottingham,2.27,3.33,3.44
Wolves,Arsenal,11.14,6.19,1.27
Luton,Brentford,2.90,3.65,2.40
Sheffield Utd,Burnley,2.67,3.55,2.66
Chelsea,Everton,1.70,4.19,4.91
Arsenal,Aston Villa,1.28,6.52,10.85
Liverpool,Crystal Palace,1.20,7.90,13.54
West Ham,Fulham,2.44,3.61,2.88
Bournemouth,Manchester Utd,2.41,4.00,2.72
Brentford,Sheffield Utd,1.50,4.89,6.13
Burnley,Brighton,3.89,3.98,1.90
Manchester City,Luton,1.09,13.09,23.77
Nottingham,Wolves,2.07,3.52,3.76
Newcastle,Tottenham,2.66,4.04,2.45
Tottenham,Nottingham,1.44,5.33,6.46
Sheffield Utd,Chelsea,6.56,5.27,1.44
Manchester Utd,Liverpool,4.93,4.83,1.60
Luton,Nottingham,2.64,3.61,2.64
Bournemouth,Luton,1.53,4.88,5.71
Chelsea,Newcastle,1.86,4.20,3.90
Liverpool,Manchester City,3.44,3.89,2.07
Brighton,Nottingham,1.64,4.32,5.18
West Ham,Burnley,1.65,4.14,5.38
Aston Villa,Tottenham,2.48,3.89,2.66
Arsenal,Brentford,1.22,7.26,13.62
Bournemouth,Sheffield Utd,1.36,5.67,8.33
Crystal Palace,Luton,1.89,3.79,4.19
Wolves,Fulham,2.49,3.46,2.92
Manchester Utd,Everton,1.91,3.80,4.08
Sheffield Utd,Arsenal,16.50,7.82,1.18
Manchester City,Manchester Utd,1.26,6.89,10.40
Burnley,Bournemouth,3.72,3.75,2.01
Luton,Aston Villa,4.54,4.46,1.70
Brentford,Chelsea,3.27,3.74,2.18
Everton,West Ham,2.15,3.58,3.47
Fulham,Brighton,2.57,3.51,2.79
Newcastle,Wolves,1.74,4.23,4.50
Wolves,Brentford,2.20,3.59,3.32
Manchester City,Everton,1.23,7.08,12.61
Brentford,Manchester City,8.06,5.51,1.37
Arsenal,Liverpool,2.22,3.68,3.21
Bournemouth,Nottingham,1.66,4.36,4.93
Chelsea,Wolves,1.54,4.47,5.88
Manchester Utd,West Ham,1.56,4.53,5.74
Sheffield Utd,Aston Villa,5.18,4.32,1.64
Brighton,Crystal Palace,1.72,3.84,5.16
Burnley,Fulham,2.94,3.33,2.54
Newcastle,Luton,1.53,4.68,5.98
Everton,Tottenham,3.15,3.77,2.20
Wolves,Manchester Utd,2.95,3.51,2.43
West Ham,Bournemouth,2.42,3.61,2.87
Liverpool,Chelsea,1.65,4.42,4.88
Manchester City,Burnley,1.11,11.21,22.68
Tottenham,Brentford,1.64,4.46,4.98
Aston Villa,Newcastle,1.88,4.03,3.91
Crystal Palace,Sheffield Utd,1.62,3.98,6.01
Fulham,Everton,2.25,3.26,3.54
Sheffield Utd,Luton,2.47,3.26,3.10
Newcastle,Nottingham,1.42,5.05,7.61
Wolves,Chelsea,3.35,3.68,2.16
Liverpool,Arsenal,2.47,3.67,2.83
Fulham,Burnley,1.72,3.87,5.13
Luton,Newcastle,5.31,4.19,1.64
Nottingham,Bournemouth,2.88,3.47,2.51
Tottenham,Everton,1.72,4.30,4.60
West Ham,Manchester Utd,2.23,3.80,3.16
Aston Villa,Sheffield Utd,1.22,7.27,13.04
Crystal Palace,Brighton,3.31,3.41,2.29
Liverpool,Manchester Utd,1.36,5.91,7.85
Arsenal,Brighton,1.49,4.79,6.58
Brentford,Aston Villa,3.23,3.49,2.29
West Ham,Wolves,1.97,3.64,4.04
Burnley,Everton,3.37,3.51,2.21
Chelsea,Sheffield Utd,1.20,7.71,13.97
Manchester City,Crystal Palace,1.18,7.61,18.18
Newcastle,Fulham,1.88,3.84,4.13
Nottingham,Tottenham,5.00,4.21,1.67
Fulham,Wolves,2.41,3.33,3.15
Everton,Manchester Utd,2.71,3.43,2.67
Tottenham,Aston Villa,2.63,3.78,2.58
Brentford,Arsenal,5.70,4.07,1.62
Burnley,West Ham,3.53,3.47,2.15
Luton,Crystal Palace,4.04,3.36,2.03
Newcastle,Chelsea,2.69,3.56,2.61
Nottingham,Brighton,3.64,3.62,2.08
Sheffield Utd,Bournemouth,3.42,3.52,2.20
Manchester City,Liverpool,1.72,4.29,4.56
Chelsea,Manchester City,4.72,3.92,1.77
Aston Villa,Fulham,1.65,4.19,5.30
Brighton,Sheffield Utd,1.28,6.23,10.77
Liverpool,Brentford,1.39,5.51,7.60
West Ham,Nottingham,1.81,3.81,4.61
Bournemouth,Newcastle,3.98,3.73,1.95
Arsenal,Burnley,1.20,7.16,15.97
Crystal Palace,Everton,2.64,3.14,2.95
Manchester Utd,Luton,1.30,6.00,9.85
Wolves,Tottenham,3.17,3.58,2.30
Arsenal,Manchester City,3.00,3.36,2.50
Brighton,Liverpool,3.28,4.23,2.06
West Ham,Newcastle,3.39,3.70,2.15
Wolves,Aston Villa,3.68,3.63,2.07
Crystal Palace,Nottingham,2.31,3.18,3.53
Burnley,Chelsea,5.18,4.03,1.69
Everton,Bournemouth,1.93,3.76,4.05
Fulham,Sheffield Utd,1.54,4.35,6.59
Manchester Utd,Brentford,1.66,4.21,5.16
Luton,Tottenham,6.86,5.07,1.45
Luton,Burnley,2.99,3.16,2.63
Fulham,Chelsea,3.53,3.44,2.19
Nottingham,Brentford,2.67,3.19,2.89
