Home,Away,Odds_1,Odds_X,Odds_2,O_2.5,U_2.5
Burnley,Man City,8.0,5.5,1.33,1.67,2.2
Arsenal,Nott'm Forest,1.18,7.0,15.0,1.44,2.75
Bournemouth,West Ham,2.7,3.4,2.55,1.9,2.0
Brighton,Luton,1.33,5.5,9.0,1.62,2.3
Everton,Fulham,2.2,3.4,3.3,2.01,1.89
Sheffield United,Crystal Palace,3.0,3.3,2.38,2.2,1.67
Newcastle,Aston Villa,1.75,3.75,4.6,1.73,2.1
Brentford,Tottenham,2.75,3.4,2.45,1.73,2.1
Chelsea,Liverpool,2.9,3.4,2.38,1.67,2.2
Man United,Wolves,1.33,5.5,9.0,1.62,2.3
Nott'm Forest,Sheffield United,1.95,3.4,4.0,2.2,1.67
Fulham,Brentford,2.7,3.3,2.63,1.96,1.94
Liverpool,Bournemouth,1.2,7.0,13.0,1.33,3.4
Wolves,Brighton,4.0,3.8,1.85,1.73,2.1
Tottenham,Man United,2.8,3.6,2.38,1.57,2.38
Man City,Newcastle,1.67,4.0,5.0,1.73,2.1
Aston Villa,Everton,1.7,4.0,4.5,1.92,1.98
West Ham,Chelsea,3.75,3.5,2.0,1.96,1.94
Crystal Palace,Arsenal,5.5,4.0,1.6,1.94,1.96
Chelsea,Luton,1.29,5.5,11.0,1.67,2.2
Bournemouth,Tottenham,3.8,3.75,1.91,1.53,2.5
Arsenal,Fulham,1.2,7.0,13.0,1.44,2.75
Brentford,Crystal Palace,2.15,3.4,3.5,2.1,1.73
Everton,Wolves,2.3,3.3,3.2,2.1,1.73
Man United,Nott'm Forest,1.3,6.0,8.0,1.5,2.63
Brighton,West Ham,1.53,4.75,5.25,1.5,2.63
Burnley,Aston Villa,3.4,3.4,2.15,1.86,2.04
Sheffield United,Man City,13.0,8.0,1.17,1.57,2.38
Newcastle,Liverpool,2.2,3.75,3.0,1.5,2.63
Luton,West Ham,4.75,3.8,1.73,1.87,2.03
Sheffield United,Everton,2.9,3.25,2.5,2.2,1.67
Brentford,Bournemouth,1.73,3.8,4.75,1.73,2.1
Burnley,Tottenham,3.6,4.0,1.85,1.62,2.3
Chelsea,Nott'm Forest,1.4,4.5,8.5,1.62,2.3
Man City,Fulham,1.17,8.0,15.0,1.4,3.0
Brighton,Newcastle,2.5,3.8,2.55,1.5,2.63
Crystal Palace,Wolves,1.91,3.3,4.33,2.2,1.67
Liverpool,Aston Villa,1.65,4.5,4.5,1.4,3.0
Arsenal,Man United,1.75,3.8,4.5,1.57,2.38
Wolves,Liverpool,6.0,5.0,1.45,1.44,2.75
Aston Villa,Crystal Palace,1.91,3.6,4.0,1.89,2.01
Fulham,Luton,1.67,3.75,5.5,1.89,2.01
Man United,Brighton,2.15,4.0,2.88,1.44,2.75
Tottenham,Sheffield United,1.29,5.5,11.0,1.5,2.63
West Ham,Man City,7.0,4.5,1.45,1.62,2.3
Newcastle,Brentford,1.53,4.2,6.0,1.67,2.2
Bournemouth,Chelsea,4.33,3.75,1.8,1.67,2.2
Everton,Arsenal,6.0,4.5,1.5,1.67,2.2
Nott'm Forest,Burnley,2.2,3.5,3.25,1.92,1.98
Crystal Palace,Fulham,1.91,3.4,4.2,2.0,1.8
Luton,Wolves,3.25,3.4,2.2,2.02,1.88
Man City,Nott'm Forest,1.14,8.5,15.0,1.4,3.0
Brentford,Everton,1.8,3.8,4.2,1.95,1.95
Burnley,Man United,4.2,4.2,1.73,1.62,2.3
Arsenal,Tottenham,1.67,4.33,4.33,1.5,2.63
Brighton,Bournemouth,1.36,5.25,7.5,1.36,3.2
Chelsea,Aston Villa,1.91,3.75,3.8,1.73,2.1
Liverpool,West Ham,1.4,5.0,7.0,1.4,3.0
Sheffield United,Newcastle,7.0,4.75,1.44,1.67,2.2
Aston Villa,Brighton,2.55,3.75,2.55,1.44,2.75
Bournemouth,Arsenal,5.5,4.5,1.53,1.53,2.5
Everton,Luton,1.57,3.8,6.5,2.05,1.85
Man United,Crystal Palace,1.55,4.2,5.75,1.8,2.0
Newcastle,Burnley,1.3,5.75,9.0,1.53,2.5
West Ham,Sheffield United,1.45,4.5,7.0,1.67,2.2
Wolves,Man City,8.0,5.75,1.33,1.53,2.5
Tottenham,Liverpool,2.9,4.0,2.15,1.36,3.2
Nott'm Forest,Brentford,2.75,3.1,2.7,2.1,1.73
Fulham,Chelsea,3.6,3.5,2.05,1.98,1.92
Luton,Burnley,2.9,3.0,2.63,2.2,1.65
Luton,Tottenham,6.0,4.75,1.45,1.53,2.4
Burnley,Chelsea,4.5,3.8,1.73,1.85,2.05
Everton,Bournemouth,1.91,3.6,3.8,1.85,2.05
Fulham,Sheffield United,1.62,3.8,6.0,1.96,1.94
Man United,Brentford,1.67,4.2,4.75,1.65,2.2
Crystal Palace,Nott'm Forest,2.2,3.1,3.6,2.25,1.62
Brighton,Liverpool,3.0,3.8,2.2,1.36,3.1
West Ham,Newcastle,3.2,3.75,2.1,1.7,2.1
Wolves,Aston Villa,3.5,3.4,2.1,1.75,2.05
Arsenal,Man City,2.9,3.3,2.4,1.75,2.05
Liverpool,Everton,1.33,5.75,7.5,1.4,2.88
Bournemouth,Wolves,2.38,3.4,3.0,1.85,2.05
Brentford,Burnley,1.83,3.75,4.2,1.95,1.95
Man City,Brighton,1.4,5.25,6.5,1.36,3.1
Newcastle,Crystal Palace,1.45,4.5,7.0,1.85,2.05
Nott'm Forest,Luton,1.67,3.75,5.5,2.08,1.82
Chelsea,Arsenal,3.2,3.4,2.25,1.98,1.92
Sheffield United,Man United,6.5,5.25,1.4,1.53,2.4
Aston Villa,West Ham,1.85,3.6,4.0,1.57,2.35
Tottenham,Fulham,1.5,4.5,6.0,1.5,2.5
Crystal Palace,Tottenham,4.5,3.75,1.75,1.94,1.96
Chelsea,Brentford,1.65,4.0,5.25,1.8,2.0
Arsenal,Sheffield United,1.13,8.5,19.0,1.36,3.1
Bournemouth,Burnley,2.15,3.5,3.3,1.75,2.05
Wolves,Newcastle,4.2,4.0,1.75,1.75,2.05
West Ham,Everton,2.15,3.5,3.3,1.73,2.08
Aston Villa,Luton,1.25,6.5,9.5,1.48,2.6
Brighton,Fulham,1.55,4.2,5.5,1.5,2.5
Liverpool,Nott'm Forest,1.29,5.75,11.0,1.4,2.88
Man United,Man City,5.0,3.8,1.67,1.7,2.1
Fulham,Man United,3.2,3.6,2.2,1.75,2.05
Brentford,West Ham,2.05,3.6,3.5,1.73,2.08
Burnley,Crystal Palace,2.75,3.25,2.6,2.2,1.65
Everton,Brighton,3.1,3.6,2.2,1.57,2.35
Man City,Bournemouth,1.1,11.0,19.0,1.29,3.6
Sheffield United,Wolves,3.8,3.5,2.0,1.91,1.99
Newcastle,Arsenal,2.8,3.2,2.6,1.95,1.95
Nott'm Forest,Aston Villa,4.2,3.75,1.85,1.73,2.08
Luton,Liverpool,12.0,6.5,1.22,1.36,3.1
Tottenham,Chelsea,2.0,3.75,3.5,1.7,2.1
Wolves,Tottenham,3.1,3.75,2.2,1.62,2.25
Arsenal,Burnley,1.18,7.0,17.0,1.48,2.6
Crystal Palace,Everton,2.45,3.2,3.0,2.25,1.62
Man United,Luton,1.33,5.25,9.5,1.53,2.4
Bournemouth,Newcastle,4.75,4.0,1.73,1.7,2.1
Aston Villa,Fulham,1.57,4.2,5.5,1.7,2.1
Brighton,Sheffield United,1.25,5.75,13.0,1.4,2.88
Liverpool,Brentford,1.4,5.0,6.5,1.44,2.7
West Ham,Nott'm Forest,1.85,3.6,4.0,1.75,2.05
Chelsea,Man City,5.0,3.7,1.73,1.88,2.02
Man City,Liverpool,1.73,4.2,4.2,1.48,2.6
Burnley,West Ham,3.4,3.5,2.05,1.75,2.05
Luton,Crystal Palace,3.6,3.3,2.1,2.15,1.67
Newcastle,Chelsea,2.55,3.5,2.63,1.86,2.04
Nott'm Forest,Brighton,3.2,3.6,2.15,1.73,2.08
Sheffield United,Bournemouth,3.2,3.5,2.2,1.85,2.05
Brentford,Arsenal,4.5,3.75,1.75,1.9,2.0
Tottenham,Aston Villa,2.3,3.8,2.8,1.5,2.5
Everton,Man United,2.7,3.4,2.55,1.85,2.05
Fulham,Wolves,2.38,3.3,3.0,2.08,1.73
Arsenal,Wolves,1.25,5.5,12.0,1.65,2.2
Brentford,Luton,1.45,4.5,6.5,1.7,2.1
Burnley,Sheffield United,1.8,3.6,4.5,2.06,1.84
Nott'm Forest,Everton,2.75,3.25,2.6,2.05,1.75
Newcastle,Man United,1.91,3.75,3.8,1.67,2.15
Bournemouth,Aston Villa,3.4,4.0,1.95,1.53,2.4
Chelsea,Brighton,1.73,4.2,4.2,1.53,2.4
Liverpool,Fulham,1.25,6.5,9.0,1.4,2.88
West Ham,Crystal Palace,2.0,3.5,3.8,2.04,1.86
Man City,Tottenham,1.29,6.0,9.0,1.36,3.1
Wolves,Burnley,1.85,3.6,4.2,2.05,1.85
Luton,Arsenal,17.0,7.0,1.18,1.65,2.2
Brighton,Brentford,1.91,3.8,3.75,1.62,2.25
Crystal Palace,Bournemouth,2.25,3.5,3.1,2.01,1.89
Fulham,Nott'm Forest,2.0,3.4,3.75,2.06,1.84
Sheffield United,Liverpool,12.0,7.5,1.2,1.33,3.4
Aston Villa,Man City,4.75,4.2,1.7,1.53,2.4
Man United,Chelsea,2.88,3.4,2.45,1.65,2.2
Everton,Newcastle,3.25,3.25,2.25,1.96,1.94
Tottenham,West Ham,1.75,4.2,4.2,1.5,2.5
