Home,Hscore,Ascore,Away,date
Fulham,0,3,Arsenal,2020-09-12
Crystal Palace,1,0,Southampton,2020-09-12
Liverpool,4,3,Leeds United,2020-09-12
West Ham,0,2,Newcastle Utd,2020-09-12
West Brom,0,3,Leicester City,2020-09-13
Tottenham,0,1,Everton,2020-09-13
Sheffield Utd,0,2,Wolves,2020-09-14
Brighton,1,3,Chelsea,2020-09-14
Everton,5,2,West Brom,2020-09-19
Leeds United,4,3,Fulham,2020-09-19
Manchester Utd,1,3,Crystal Palace,2020-09-19
Arsenal,2,1,West Ham,2020-09-19
Southampton,2,5,Tottenham,2020-09-20
Newcastle Utd,0,3,Brighton,2020-09-20
Chelsea,0,2,Liverpool,2020-09-20
Leicester City,4,2,Burnley,2020-09-20
Aston Villa,1,0,Sheffield Utd,2020-09-21
Wolves,1,3,Manchester City,2020-09-21
Brighton,2,3,Manchester Utd,2020-09-26
Crystal Palace,1,2,Everton,2020-09-26
West Brom,3,3,Chelsea,2020-09-26
Burnley,0,1,Southampton,2020-09-26
Sheffield Utd,0,1,Leeds United,2020-09-27
Tottenham,1,1,Newcastle Utd,2020-09-27
Manchester City,2,5,Leicester City,2020-09-27
West Ham,4,0,Wolves,2020-09-27
Fulham,0,3,Aston Villa,2020-09-28
Liverpool,3,1,Arsenal,2020-09-28
Chelsea,4,0,Crystal Palace,2020-10-03
Everton,4,2,Brighton,2020-10-03
Leeds United,1,1,Manchester City,2020-10-03
Newcastle Utd,3,1,Burnley,2020-10-03
Southampton,2,0,West Brom,2020-10-04
Leicester City,0,3,West Ham,2020-10-04
Arsenal,2,1,Sheffield Utd,2020-10-04
Wolves,1,0,Fulham,2020-10-04
Manchester Utd,1,6,Tottenham,2020-10-04
Aston Villa,7,2,Liverpool,2020-10-04
Everton,2,2,Liverpool,2020-10-17
Chelsea,3,3,Southampton,2020-10-17
Manchester City,1,0,Arsenal,2020-10-17
Newcastle Utd,1,4,Manchester Utd,2020-10-17
Sheffield Utd,1,1,Fulham,2020-10-18
Crystal Palace,1,1,Brighton,2020-10-18
Tottenham,3,3,West Ham,2020-10-18
Leicester City,0,1,Aston Villa,2020-10-18
West Brom,0,0,Burnley,2020-10-19
Leeds United,0,1,Wolves,2020-10-19
Aston Villa,0,3,Leeds United,2020-10-23
West Ham,1,1,Manchester City,2020-10-24
Fulham,1,2,Crystal Palace,2020-10-24
Manchester Utd,0,0,Chelsea,2020-10-24
Liverpool,2,1,Sheffield Utd,2020-10-24
Southampton,2,0,Everton,2020-10-25
Wolves,1,1,Newcastle Utd,2020-10-25
Arsenal,0,1,Leicester City,2020-10-25
Brighton,1,1,West Brom,2020-10-26
Burnley,0,1,Tottenham,2020-10-26
Wolves,2,0,Crystal Palace,2020-10-30
Sheffield Utd,0,1,Manchester City,2020-10-31
Burnley,0,3,Chelsea,2020-10-31
Liverpool,2,1,West Ham,2020-10-31
Aston Villa,3,4,Southampton,2020-11-01
Newcastle Utd,2,1,Everton,2020-11-01
Manchester Utd,0,1,Arsenal,2020-11-01
Tottenham,2,1,Brighton,2020-11-01
Fulham,2,0,West Brom,2020-11-02
Leeds United,1,4,Leicester City,2020-11-02
Brighton,0,0,Burnley,2020-11-06
Southampton,2,0,Newcastle Utd,2020-11-06
Everton,1,3,Manchester Utd,2020-11-07
Crystal Palace,4,1,Leeds United,2020-11-07
Chelsea,4,1,Sheffield Utd,2020-11-07
West Ham,1,0,Fulham,2020-11-07
West Brom,0,1,Tottenham,2020-11-08
Leicester City,1,0,Wolves,2020-11-08
Manchester City,1,1,Liverpool,2020-11-08
Arsenal,0,3,Aston Villa,2020-11-08
Newcastle Utd,0,2,Chelsea,2020-11-21
Aston Villa,1,2,Brighton,2020-11-21
Tottenham,2,0,Manchester City,2020-11-21
Manchester Utd,1,0,West Brom,2020-11-21
Fulham,2,3,Everton,2020-11-22
Sheffield Utd,0,1,West Ham,2020-11-22
