Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.008,proba_draw_0.008,proba_lose_0.008,proba_O_0.008,proba_U_0.008
Burnley,0,3,Manchester City,2023-08-11,8.0,5.5,1.33,1.67,2.2,0.14932919730576175,0.2186792014084038,0.6319873313550304,0.4899978369466672,0.5100020295510483
Arsenal,2,1,Nott'ham Forest,2023-08-12,1.18,7.0,15.0,1.44,2.75,0.8271611304701686,0.10691306101850283,0.06534840195322927,0.7815485902208776,0.21842211267182365
Everton,0,1,Fulham,2023-08-12,2.2,3.4,3.3,2.01,1.89,0.3906652743214786,0.2815749720885351,0.32775965302114324,0.4090333770358417,0.5909665964398217
Sheffield Utd,0,1,Crystal Palace,2023-08-12,3.0,3.3,2.38,2.2,1.67,0.4186914516088741,0.3117068803328272,0.26960164028806083,0.30198298847948535,0.6980170092423401
Brighton,4,1,Luton Town,2023-08-12,1.33,5.5,9.0,1.62,2.3,0.6620894350969864,0.22178059735104058,0.11612733165582782,0.4166254066038253,0.5833745623264226
Bournemouth,1,1,West Ham,2023-08-12,2.7,3.4,2.55,1.9,2.0,0.2409851022859544,0.2788961589317069,0.480118537375729,0.38236188347498723,0.6176381015175936
Newcastle Utd,5,1,Aston Villa,2023-08-12,1.75,3.75,4.6,1.73,2.1,0.5424941438664054,0.2582868530817321,0.19921833665089597,0.4151180198957209,0.5848819499908563
Brentford,2,2,Tottenham,2023-08-13,2.75,3.4,2.45,1.73,2.1,0.5977666778466753,0.20554111558502353,0.1966787229845136,0.6280832976682338,0.37191500747495493
Chelsea,1,1,Liverpool,2023-08-13,2.9,3.4,2.38,1.67,2.2,0.30233785860466394,0.3310133973636143,0.3666487368607517,0.262343293455058,0.7376567057561487
Manchester Utd,1,0,Wolves,2023-08-14,1.33,5.5,9.0,1.62,2.3,0.6390167857029942,0.2037342760734158,0.15723840145602358,0.5675582894027592,0.43244114397924693
Nott'ham Forest,2,1,Sheffield Utd,2023-08-18,1.95,3.4,4.0,2.2,1.67,0.19053736036923807,0.4813412257088967,0.3281214138945622,0.06721154707440236,0.9327884529256656
Fulham,0,3,Brentford,2023-08-19,2.7,3.3,2.63,1.96,1.94,0.3897385452356172,0.28159310921133723,0.32866824554023577,0.409122839295371,0.5908771341308232
Liverpool,3,1,Bournemouth,2023-08-19,1.2,7.0,13.0,1.33,3.4,0.7921549418988952,0.14196398679963337,0.06582285165906147,0.5895257085132638,0.4104734467760801
Wolves,1,4,Brighton,2023-08-19,4.0,3.8,1.85,1.73,2.1,0.26286030201812904,0.2486547449916197,0.4884838882665741,0.508492078192688,0.4915077320835711
Tottenham,2,0,Manchester Utd,2023-08-19,2.8,3.6,2.38,1.57,2.38,0.4289736930382208,0.20690873318375771,0.3641006058144139,0.7591178156782262,0.2408632761476142
Manchester City,1,0,Newcastle Utd,2023-08-19,1.67,4.0,5.0,1.73,2.1,0.7727507372478857,0.15445546010418476,0.07275816489407251,0.5588450096913496,0.4411545071404218
Aston Villa,4,0,Everton,2023-08-20,1.7,4.0,4.5,1.92,1.98,0.5872711903348298,0.23106012653040095,0.1816659419901184,0.493327094957938,0.5066727627648266
West Ham,3,1,Chelsea,2023-08-20,3.75,3.5,2.0,1.96,1.94,0.42385911597322784,0.2962656941270316,0.2798751306289856,0.348151528932874,0.6518484640979783
Crystal Palace,0,1,Arsenal,2023-08-21,5.5,4.0,1.6,1.94,1.96,0.22930826019083678,0.2577698639636964,0.5129212045075277,0.44569685024374317,0.554303093609474
Chelsea,3,0,Luton Town,2023-08-25,1.29,5.5,11.0,1.67,2.2,0.5958585874268472,0.2073968264614973,0.19673257893191004,0.6193148448485861,0.38068370812015073
Bournemouth,0,2,Tottenham,2023-08-26,3.8,3.75,1.91,1.53,2.5,0.27643132777528556,0.21776490528409922,0.505795827436066,0.6609564764238135,0.3390404561724131
Everton,0,1,Wolves,2023-08-26,2.3,3.3,3.2,2.1,1.73,0.34908814107094766,0.2933625915106107,0.3575492207135028,0.3704409842939947,0.6295590041598252
Brentford,1,1,Crystal Palace,2023-08-26,2.15,3.4,3.5,2.1,1.73,0.5915350825668454,0.26579418611266853,0.14267031205687705,0.32902855032280043,0.6709714452337288
Manchester Utd,3,2,Nott'ham Forest,2023-08-26,1.3,6.0,8.0,1.5,2.63,0.6063413783616783,0.22860737601353673,0.16504839940645058,0.47799707999249197,0.5220028140389297
Arsenal,2,2,Fulham,2023-08-26,1.2,7.0,13.0,1.44,2.75,0.7619286057203337,0.15318819512839638,0.08482980747622527,0.6100295476365958,0.3899692285565043
Brighton,1,3,West Ham,2023-08-26,1.53,4.75,5.25,1.5,2.63,0.733553996776046,0.16157540519518326,0.10481713560354852,0.6364665628715342,0.36353146582781376
Sheffield Utd,1,2,Manchester City,2023-08-27,13.0,8.0,1.17,1.57,2.38,0.016962911486772203,0.08584713058025478,0.8970339558672177,0.579780097322983,0.42021919494810595
Burnley,1,3,Aston Villa,2023-08-27,3.4,3.4,2.15,1.86,2.04,0.10325681945625223,0.24743006627110697,0.6493123627145242,0.3214260309284477,0.6785739653743734
Newcastle Utd,1,2,Liverpool,2023-08-27,2.2,3.75,3.0,1.5,2.63,0.67919881200126,0.18120013063121526,0.13956933612159472,0.6349679998191835,0.3650300813952472
Luton Town,1,2,West Ham,2023-09-01,4.75,3.8,1.73,1.87,2.03,0.2787025104019351,0.29705718047707913,0.4242402518750386,0.34539389412760635,0.6546060993349978
Sheffield Utd,2,2,Everton,2023-09-02,2.9,3.25,2.5,2.2,1.67,0.6418135246030873,0.2126388753093,0.14554191780030393,0.5069849492250755,0.493014866374839
Chelsea,0,1,Nott'ham Forest,2023-09-02,1.4,4.5,8.5,1.62,2.3,0.4814534882038807,0.23552164237384932,0.28302252169028025,0.5806308143350091,0.4193684667878008
Manchester City,5,1,Fulham,2023-09-02,1.17,8.0,15.0,1.4,3.0,0.8910010425196683,0.08300843868086992,0.02565036279118625,0.6693008466777692,0.330695586212143
Brentford,2,2,Bournemouth,2023-09-02,1.73,3.8,4.75,1.73,2.1,0.892462106658275,0.08108743724015875,0.02604990438928822,0.684589985365599,0.31540530523753146
Burnley,2,5,Tottenham,2023-09-02,3.6,4.0,1.85,1.62,2.3,0.20050764808861504,0.272316053325764,0.527175975410211,0.3715361602898143,0.6284638278801103
Brighton,3,1,Newcastle Utd,2023-09-02,2.5,3.8,2.55,1.5,2.63,0.34625420106896987,0.22051669048882988,0.4332231501461064,0.6848759205348263,0.3151193446946362
Liverpool,3,0,Aston Villa,2023-09-03,1.65,4.5,4.5,1.4,3.0,0.37289507364907665,0.2349403385438471,0.39216262607168734,0.6164530012198046,0.3835456245181116
Crystal Palace,3,2,Wolves,2023-09-03,1.91,3.3,4.33,2.2,1.67,0.5565731881554502,0.2823876886302253,0.1610389183710822,0.30728864333360706,0.6927113540607427
Arsenal,3,1,Manchester Utd,2023-09-03,1.75,3.8,4.5,1.57,2.38,0.6937450858626615,0.16483828093555636,0.1413234519101036,0.7223846096478592,0.27760595033299823
Wolves,1,3,Liverpool,2023-09-16,6.0,5.0,1.45,1.44,2.75,0.18067672131180829,0.2285168115142693,0.5908033292848212,0.5020436163037558,0.49795621575558424
Fulham,1,0,Luton Town,2023-09-16,1.67,3.75,5.5,1.89,2.01,0.7554687487723792,0.1399467161358835,0.10436869804543916,0.7496197668595785,0.2503644714233852
West Ham,1,3,Manchester City,2023-09-16,7.0,4.5,1.45,1.62,2.3,0.12509356969966653,0.2329209849561271,0.641983744671298,0.39720057210025217,0.6027994072403743
Aston Villa,3,1,Crystal Palace,2023-09-16,1.91,3.6,4.0,1.89,2.01,0.43901084915610356,0.2893926782335151,0.27159637950416793,0.3657910033977696,0.6342089861932059
Manchester Utd,1,3,Brighton,2023-09-16,2.15,4.0,2.88,1.44,2.75,0.40960785554981644,0.2291069107786214,0.36128218522515887,0.6445345434676324,0.3554631763881205
Tottenham,2,1,Sheffield Utd,2023-09-16,1.29,5.5,11.0,1.5,2.63,0.798605880492046,0.124800194647865,0.07634574424967445,0.7275130719855856,0.27247654106288416
Newcastle Utd,1,0,Brentford,2023-09-16,1.53,4.2,6.0,1.67,2.2,0.5435493419664039,0.23541430107637173,0.2210339250329245,0.5255710699609719,0.47442866868979017
Bournemouth,0,0,Chelsea,2023-09-17,4.33,3.75,1.8,1.67,2.2,0.3181924444996015,0.30598967354847983,0.37581785662941786,0.32885356761370477,0.6711464279619401
Everton,0,1,Arsenal,2023-09-17,6.0,4.5,1.5,1.67,2.2,0.1049690343693921,0.16846443393411997,0.7265309264006976,0.6030788806138581,0.39692003991889635
Nott'ham Forest,1,1,Burnley,2023-09-18,2.2,3.5,3.25,1.92,1.98,0.7540826062290361,0.13487748865957466,0.1106679678776718,0.7974846540954393,0.2024750098305224
Manchester City,2,0,Nott'ham Forest,2023-09-23,1.14,8.5,15.0,1.4,3.0,0.7936782196338981,0.14288537395026008,0.06338532847950598,0.5746532779304943,0.42534607727248336
Luton Town,1,1,Wolves,2023-09-23,3.25,3.4,2.2,2.02,1.88,0.3603812371325361,0.29645402852048564,0.3431646949051243,0.3601639524677547,0.6398360383608159
Crystal Palace,0,0,Fulham,2023-09-23,1.91,3.4,4.2,2.0,1.8,0.3804829194872122,0.2646994694590354,0.3548173470063488,0.4778163714105717,0.5221835229891859
Brentford,1,3,Everton,2023-09-23,1.8,3.8,4.2,1.95,1.95,0.659699628312448,0.23325144821407762,0.10704749764664395,0.3649320972751189,0.6350678925143446
Burnley,0,1,Manchester Utd,2023-09-23,4.2,4.2,1.73,1.62,2.3,0.2039753433541545,0.17798924610614764,0.6179433031940345,0.776549299218556,0.22342415616633526
Arsenal,2,2,Tottenham,2023-09-24,1.67,4.33,4.33,1.5,2.63,0.5556357708517364,0.19633192866081925,0.24799821665460958,0.7411713998471263,0.2588151730856336
Brighton,3,1,Bournemouth,2023-09-24,1.36,5.25,7.5,1.36,3.2,0.6908799127128564,0.157255836973844,0.15167267061827347,0.7860432771341628,0.21392468475249066
Chelsea,0,1,Aston Villa,2023-09-24,1.91,3.75,3.8,1.73,2.1,0.3908323234683381,0.28274663493708707,0.3264209473023489,0.40463307965645495,0.5953668961614912
Liverpool,3,1,West Ham,2023-09-24,1.4,5.0,7.0,1.4,3.0,0.8270948705709831,0.12280485084327682,0.05000054953206114,0.6097500463248178,0.3902487360706351
Sheffield Utd,0,8,Newcastle Utd,2023-09-24,7.0,4.75,1.44,1.67,2.2,0.166623810639324,0.22650813756478533,0.6068648340962973,0.4886022884332109,0.5113975815862212
Aston Villa,6,1,Brighton,2023-09-30,2.55,3.75,2.55,1.44,2.75,0.492539006395432,0.20699372057896104,0.3004498274251823,0.7322444008251618,0.26774424943822905
Wolves,2,1,Manchester City,2023-09-30,8.0,5.75,1.33,1.53,2.5,0.07179990165775071,0.15157016124662254,0.7765892729308419,0.5684096226028597,0.4315898019318138
Bournemouth,0,4,Arsenal,2023-09-30,5.5,4.5,1.53,1.53,2.5,0.305258557894141,0.2304829170941217,0.4642553828482966,0.6180686761772454,0.38192990893034284
Everton,1,2,Luton Town,2023-09-30,1.57,3.8,6.5,2.05,1.85,0.4297851953948033,0.29715359918817225,0.273061145767487,0.34303615304826635,0.656963840762613
Newcastle Utd,2,0,Burnley,2023-09-30,1.3,5.75,9.0,1.53,2.5,0.8155490403709864,0.12025601063983178,0.0639861689510805,0.6958471586980275,0.3041470564450878
West Ham,2,0,Sheffield Utd,2023-09-30,1.45,4.5,7.0,1.67,2.2,0.7249670488157088,0.15217392157101967,0.1227102020964389,0.7399307189282738,0.26005616555528704
Manchester Utd,0,1,Crystal Palace,2023-09-30,1.55,4.2,5.75,1.8,2.0,0.5040838713071235,0.25222445537914534,0.24369077447088014,0.47901318811585936,0.5209867038114786
Tottenham,2,1,Liverpool,2023-09-30,2.9,4.0,2.15,1.36,3.2,0.2526438209607042,0.20577549615769689,0.5415629674605547,0.6987846965271292,0.3012091981812668
Nott'ham Forest,1,1,Brentford,2023-10-01,2.75,3.1,2.7,2.1,1.73,0.36186554591970893,0.2582001817151496,0.3799338736698968,0.5060936541559216,0.49390616452070135
Fulham,0,2,Chelsea,2023-10-02,3.6,3.5,2.05,1.98,1.92,0.4041515348918665,0.30457960683221447,0.2912688245617126,0.32755928252442157,0.6724407131866049
Luton Town,1,2,Burnley,2023-10-03,2.9,3.0,2.63,2.2,1.65,0.31152373085475116,0.2594659767103449,0.4290098543001656,0.490081726009969,0.5099181402715612
Luton Town,0,1,Tottenham,2023-10-07,6.0,4.75,1.45,1.53,2.4,0.2912792146562733,0.32450675401058504,0.384214020080991,0.275824477314356,0.7241755215397434
Everton,3,0,Bournemouth,2023-10-07,1.91,3.6,3.8,1.85,2.05,0.7449753541465723,0.1722905353575262,0.08271642686374615,0.5160725696684055,0.48392721153093415
Manchester Utd,2,1,Brentford,2023-10-07,1.67,4.2,4.75,1.65,2.2,0.32177269940630004,0.31436586316362997,0.363861421891234,0.30585611456097955,0.6941438829260835
Burnley,1,4,Chelsea,2023-10-07,4.5,3.8,1.73,1.85,2.05,0.5875615683031039,0.2231502324951231,0.18928374659127922,0.5368995510305604,0.4631001263900174
