Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win,proba_draw,proba_lose,proba_O,proba_U
Burnley,0,3,Manchester City,2023-08-11,8.0,5.5,1.33,1.67,2.2,,,,,
Arsenal,2,1,Nott'ham Forest,2023-08-12,1.18,7.0,15.0,1.44,2.75,,,,,
Everton,0,1,Fulham,2023-08-12,2.2,3.4,3.3,2.01,1.89,,,,,
Sheffield Utd,0,1,Crystal Palace,2023-08-12,3.0,3.3,2.38,2.2,1.67,,,,,
Brighton,4,1,Luton Town,2023-08-12,1.33,5.5,9.0,1.62,2.3,,,,,
Bournemouth,1,1,West Ham,2023-08-12,2.7,3.4,2.55,1.9,2.0,,,,,
Newcastle Utd,5,1,Aston Villa,2023-08-12,1.75,3.75,4.6,1.73,2.1,,,,,
Brentford,2,2,Tottenham,2023-08-13,2.75,3.4,2.45,1.73,2.1,,,,,
Chelsea,1,1,Liverpool,2023-08-13,2.9,3.4,2.38,1.67,2.2,,,,,
Manchester Utd,1,0,Wolves,2023-08-14,1.33,5.5,9.0,1.62,2.3,,,,,
Nott'ham Forest,2,1,Sheffield Utd,2023-08-18,1.95,3.4,4.0,2.2,1.67,,,,,
Fulham,0,3,Brentford,2023-08-19,2.7,3.3,2.63,1.96,1.94,0.41700491132651846,0.2621057562531329,0.32088897826010426,0.4821628623291944,0.7351045551293256
Liverpool,3,1,Bournemouth,2023-08-19,1.2,7.0,13.0,1.33,3.4,0.8781604665979087,0.08652600669874635,0.03481676665120239,0.7163520578117601,0.48540331641325907
Wolves,1,4,Brighton,2023-08-19,4.0,3.8,1.85,1.73,2.1,0.2794774386398725,0.2988447448030139,0.42167776489526726,0.34063027931221423,0.8453264030579843
Tottenham,2,0,Manchester Utd,2023-08-19,2.8,3.6,2.38,1.57,2.38,0.5748326274001848,0.23777851179656312,0.18738690986039266,0.4749150127255758,0.7413912910115584
Manchester City,1,0,Newcastle Utd,2023-08-19,1.67,4.0,5.0,1.73,2.1,0.5951382558318905,0.18655161853343058,0.21825301530036664,0.7467885963173254,0.4435048826823032
Aston Villa,4,0,Everton,2023-08-20,1.7,4.0,4.5,1.92,1.98,0.608630206640104,0.21363294293957152,0.1777296685250914,0.5595929790422347,0.6632720864765358
West Ham,3,1,Chelsea,2023-08-20,3.75,3.5,2.0,1.96,1.94,0.38425759795320535,0.3078639452071424,0.3078784322939809,0.3221393310684401,0.8578508583018198
