Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.004,proba_draw_0.004,proba_lose_0.004,proba_O_0.004,proba_U_0.004
Burnley,0,3,Manchester City,2023-08-11,8.0,5.5,1.33,1.67,2.2,0.1126580166601071,0.18984330877481162,0.6974861266531928,0.5286735982252055,0.06136203375128848
Arsenal,2,1,Nott'ham Forest,2023-08-12,1.18,7.0,15.0,1.44,2.75,0.7973488193378914,0.12640781657027736,0.07602320610377293,0.7171881287316135,0.024363724433013267
Everton,0,1,Fulham,2023-08-12,2.2,3.4,3.3,2.01,1.89,0.4890522615761923,0.2566322407427978,0.2543148169885888,0.47079773856861,0.07763266923945036
Sheffield Utd,0,1,Crystal Palace,2023-08-12,3.0,3.3,2.38,2.2,1.67,0.32077423934692484,0.3312030756661259,0.3480226785934936,0.26415724476750196,0.16880173478878605
Brighton,4,1,Luton Town,2023-08-12,1.33,5.5,9.0,1.62,2.3,0.7834809521464954,0.1557683925994552,0.06072683890469094,0.5074809365187657,0.06696250827531475
Bournemouth,1,1,West Ham,2023-08-12,2.7,3.4,2.55,1.9,2.0,0.32324111127341754,0.2971472366263325,0.37961161079986333,0.35686374735453097,0.11972906913504654
Newcastle Utd,5,1,Aston Villa,2023-08-12,1.75,3.75,4.6,1.73,2.1,0.5723685934694509,0.2316254703508613,0.1960030857860139,0.5114289906775773,0.06592404855904666
Brentford,2,2,Tottenham,2023-08-13,2.75,3.4,2.45,1.73,2.1,0.40215240412159725,0.24621689848998587,0.35162977492809006,0.5600320484212402,0.053693411222358094
Chelsea,1,1,Liverpool,2023-08-13,2.9,3.4,2.38,1.67,2.2,0.3805299325676119,0.36376188753152894,0.2557081776447919,0.19232174114101352,0.22238219330477083
Manchester Utd,1,0,Wolves,2023-08-14,1.33,5.5,9.0,1.62,2.3,0.5760755468757182,0.24541297220845737,0.17851021518284338,0.4361102005785768,0.0888402425944534
Nott'ham Forest,2,1,Sheffield Utd,2023-08-18,1.95,3.4,4.0,2.2,1.67,0.6004903026987527,0.344360579541231,0.05514909775294091,0.127470167194568,0.29194005869938705
