Modèle 2 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Liverpool;4;2;Newcastle Utd;01/01/2024;1.45;4.5;7.0;1.44;2.7;0.5826023147081424;0.21250990305984782;0.20488283673873214;0.554462896443584;0.44553679633619003
West Ham;0;0;Brighton;02/01/2024;2.45;3.75;2.75;1.6;2.3;0.4283223554034069;0.21676960238877369;0.35490496346493566;0.6511948281521694;0.348803548846518
Burnley;1;1;Luton Town;12/01/2024;2.0;3.6;3.6;1.99;1.91;0.4336696684287386;0.23355746687828557;0.33277177830278565;0.5644878771794137;0.4355117360095824
Chelsea;1;0;Fulham;13/01/2024;1.6;4.2;5.25;1.62;2.25;0.5186094987520139;0.2313797592103026;0.25000902086493965;0.5241402314923442;0.47585957877479734
Newcastle Utd;2;3;Manchester City;13/01/2024;5.5;4.33;1.55;1.6;2.3;0.30597628305619795;0.2227369110059561;0.4712841319894289;0.6087593634313402;0.3912397967901289
Everton;0;0;Aston Villa;14/01/2024;2.8;3.5;2.45;1.73;2.08;0.291933362812869;0.2466740566187064;0.46139204250634525;0.48345091396137596;0.5165489957934541
Manchester Utd;2;2;Tottenham;14/01/2024;2.2;3.75;3.0;1.48;2.6;0.4093894573388693;0.23583485758074313;0.35477483952796285;0.5584150253620499;0.44158462720734104
Arsenal;5;0;Crystal Palace;20/01/2024;1.3;5.75;9.0;1.73;2.08;0.6940739587912543;0.18470432693230865;0.1212072365031685;0.5447636041092293;0.4552360992454795
Brentford;3;2;Nott'ham Forest;20/01/2024;1.91;3.6;4.0;1.86;2.04;0.590603417709172;0.21643740973941003;0.1929546851516122;0.5361334238099658;0.4638663256041198
Sheffield Utd;2;2;West Ham;21/01/2024;3.4;3.3;2.2;2.05;1.75;0.17353591959969847;0.21141046145175024;0.615048201294023;0.5289224912904364;0.4710772881358706
Bournemouth;0;4;Liverpool;21/01/2024;4.2;4.5;1.7;1.44;2.7;0.1618667546952418;0.19032331241860462;0.6477923381823956;0.6095150670567525;0.3904840069345729
Brighton;0;0;Wolves;22/01/2024;1.65;4.33;5.0;1.62;2.25;0.5952385833702853;0.20958027094510676;0.19517444729746436;0.5692429896616154;0.43075656720823063
Nott'ham Forest;1;2;Arsenal;30/01/2024;7.5;5.0;1.4;1.62;2.25;0.1811666084912263;0.19642307767873385;0.6223957349350319;0.6158560486170364;0.3841429106516468
Fulham;0;0;Everton;30/01/2024;2.45;3.2;3.0;2.05;1.75;0.509875202887907;0.250118884831815;0.24000528303271446;0.44477861973672317;0.5552213343225489
Luton Town;4;0;Brighton;30/01/2024;4.2;4.2;1.75;1.65;2.2;0.29516540770542316;0.21233260439403062;0.4924951230622841;0.6674455800044871;0.3325518705880695
Crystal Palace;3;2;Sheffield Utd;30/01/2024;1.62;3.6;6.5;2.08;1.73;0.6541270814837037;0.2076015276586305;0.13826634412285474;0.4823486971894743;0.5176512080057086
Aston Villa;1;3;Newcastle Utd;30/01/2024;1.85;4.0;3.8;1.5;2.5;0.4615546751117135;0.22820595660353393;0.3102373033625128;0.593454271537031;0.4065450347718954
Tottenham;3;2;Brentford;31/01/2024;1.67;4.2;4.75;1.5;2.5;0.5776172801818176;0.20179639518227402;0.22057311695480286;0.6489010149285949;0.35109713477887305
Manchester City;3;1;Burnley;31/01/2024;1.08;12.0;21.0;1.33;3.4;0.8739775070552889;0.08646190148649366;0.038949588066710936;0.7462216773932052;0.25376664646886177
Liverpool;4;1;Chelsea;31/01/2024;1.57;4.33;5.25;1.44;2.7;0.6802386785869623;0.18753524369714628;0.13221151599566391;0.5591746221677629;0.44082499205148074
West Ham;1;1;Bournemouth;01/02/2024;2.4;3.75;2.75;1.62;2.25;0.613170092866019;0.20007355876630398;0.18674427331504712;0.6069040429852887;0.3930950687430879
Wolves;3;4;Manchester Utd;01/02/2024;2.63;3.6;2.55;1.75;2.05;0.37849475081278044;0.2783425183464133;0.3431626712056392;0.3807351818309064;0.6192648055833873
Everton;2;2;Tottenham;03/02/2024;3.0;3.6;2.25;1.62;2.25;0.3019497220020324;0.23981366353048789;0.4582356679469729;0.5319203023247117;0.46807946519344235
Newcastle Utd;4;4;Luton Town;03/02/2024;1.44;4.75;6.5;1.57;2.35;0.7385601311252538;0.14684860886062245;0.1144522881438317;0.725536002687946;0.274456517734792
Brighton;4;1;Crystal Palace;03/02/2024;1.7;4.0;4.75;1.73;2.08;0.6122708876790637;0.21108329821264948;0.17664010462636928;0.5367071905557298;0.463292553739421
Burnley;2;2;Fulham;03/02/2024;2.9;3.4;2.38;1.99;1.91;0.3275418649388523;0.2557262174600822;0.4167316381713786;0.4690891687351081;0.5309107582096089
