Modèle 0 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Liverpool;4;2;Newcastle Utd;01/01/2024;1.45;4.5;7.0;1.44;2.7;0.6396792941671213;0.19298202974460163;0.16732410041801182;0.5996378971751071;0.4003613718984637
West Ham;0;0;Brighton;02/01/2024;2.45;3.75;2.75;1.6;2.3;0.4214258183366845;0.23052388027650772;0.3480490162647257;0.5849260073725518;0.4150734382821093
Burnley;1;1;Luton Town;12/01/2024;2.0;3.6;3.6;1.99;1.91;0.4550710971479575;0.23976693223358894;0.3051611112265794;0.5276136064042718;0.4723861860168573
Chelsea;1;0;Fulham;13/01/2024;1.6;4.2;5.25;1.62;2.25;0.54743883123239;0.2330991930671773;0.21946030381239356;0.4905494123878063;0.509450481477634
Newcastle Utd;2;3;Manchester City;13/01/2024;5.5;4.33;1.55;1.6;2.3;0.24631184988367263;0.21758171775584467;0.5361018871227711;0.5929388517528105;0.4070604854747941
Everton;0;0;Aston Villa;14/01/2024;2.8;3.5;2.45;1.73;2.08;0.303358563352092;0.2503056979108238;0.4463353141483523;0.4781037636630592;0.5218961524062752
Manchester Utd;2;2;Tottenham;14/01/2024;2.2;3.75;3.0;1.48;2.6;0.41287627474996597;0.23572575552268274;0.35139703718212584;0.5635971288959575;0.43640247758481465
Arsenal;5;0;Crystal Palace;20/01/2024;1.3;5.75;9.0;1.73;2.08;0.6580282990191341;0.19587714645255577;0.1460839822094387;0.5498970559187344;0.45010261995752593
Brentford;3;2;Nott'ham Forest;20/01/2024;1.91;3.6;4.0;1.86;2.04;0.6094648680468566;0.21414419069819;0.17638622095124454;0.5215689762173428;0.47843083028569644
Sheffield Utd;2;2;West Ham;21/01/2024;3.4;3.3;2.2;2.05;1.75;0.17160982706693903;0.20994691644097577;0.618437405077719;0.5327897348925767;0.4672100278597711
Bournemouth;0;4;Liverpool;21/01/2024;4.2;4.5;1.7;1.44;2.7;0.13101564347782532;0.17211577054625746;0.6968322906112836;0.6333380133459678;0.36666056257899626
Brighton;0;0;Wolves;22/01/2024;1.65;4.33;5.0;1.62;2.25;0.5838810335184559;0.2279455934655401;0.1881711552296416;0.4777052269164693;0.5222946876538508
Nott'ham Forest;1;2;Arsenal;30/01/2024;7.5;5.0;1.4;1.62;2.25;0.19037371190567134;0.2001155129344646;0.6094984315856816;0.6125385114905165;0.3874605095827927
Fulham;0;0;Everton;30/01/2024;2.45;3.2;3.0;2.05;1.75;0.5393664988365925;0.24070661975369761;0.2199257488746268;0.464212094301708;0.5357878389799775
Luton Town;4;0;Brighton;30/01/2024;4.2;4.2;1.75;1.65;2.2;0.2922717735306637;0.21543780189335082;0.49228495219042673;0.6488313106281315;0.3511668557717009
Crystal Palace;3;2;Sheffield Utd;30/01/2024;1.62;3.6;6.5;2.08;1.73;0.6904398544098626;0.19024326710062978;0.1193065026047816;0.5154878300893608;0.4845119942446535
Aston Villa;1;3;Newcastle Utd;30/01/2024;1.85;4.0;3.8;1.5;2.5;0.4452517126898441;0.23269351035702301;0.3220533552873899;0.5759069989499407;0.4240924928152894
Tottenham;3;2;Brentford;31/01/2024;1.67;4.2;4.75;1.5;2.5;0.5614016806416909;0.2137574033112253;0.22483487580262174;0.5930727274640076;0.4069265805681004
Manchester City;3;1;Burnley;31/01/2024;1.08;12.0;21.0;1.33;3.4;0.8620099167604596;0.09619322477805181;0.04145681868523397;0.6995776418896331;0.30041741596759125
Liverpool;4;1;Chelsea;31/01/2024;1.57;4.33;5.25;1.44;2.7;0.6371918384825975;0.2061108498696363;0.15669078590393143;0.5241789603822254;0.4758208353875968
West Ham;1;1;Bournemouth;01/02/2024;2.4;3.75;2.75;1.62;2.25;0.6303069590893312;0.1992789521040249;0.17040300663023658;0.5819968826379366;0.4180025440691454
Wolves;3;4;Manchester Utd;01/02/2024;2.63;3.6;2.55;1.75;2.05;0.3416437930402532;0.28294964951792506;0.3754065124583694;0.36380805602957245;0.6361919352199337
Everton;2;2;Tottenham;03/02/2024;3.0;3.6;2.25;1.62;2.25;0.27167378196992376;0.24027489952507938;0.4880502755372813;0.5111517524116406;0.48884808808827107
Newcastle Utd;4;4;Luton Town;03/02/2024;1.44;4.75;6.5;1.57;2.35;0.7098420314709541;0.1595516188435176;0.13052422846391423;0.7005556116037583;0.2994396713719386
Brighton;4;1;Crystal Palace;03/02/2024;1.7;4.0;4.75;1.73;2.08;0.5690008524599883;0.22732288667752737;0.20367380470963;0.5025966935412347;0.4974031695660539
Burnley;2;2;Fulham;03/02/2024;2.9;3.4;2.38;1.99;1.91;0.3392575357388921;0.2638439653485672;0.3968983461360097;0.43677455866321113;0.5632254021166101
Sheffield Utd;0;5;Aston Villa;03/02/2024;5.25;4.2;1.62;1.62;2.25;0.15002854645090602;0.1875115373474376;0.6624414996381673;0.5997385514348106;0.40026066114144043
Bournemouth;1;1;Nott'ham Forest;04/02/2024;1.7;4.2;4.5;1.65;2.2;0.45207574335192546;0.24104210899267176;0.30688130077253645;0.5282973622198746;0.4717024202961166
Manchester Utd;3;0;West Ham;04/02/2024;1.62;4.2;5.0;1.6;2.3;0.4931646243518356;0.24001812434899933;0.26681617241719;0.5088087065218998;0.4911911406344438
Chelsea;2;4;Wolves;04/02/2024;1.62;4.0;5.5;1.7;2.1;0.5580290168501155;0.2596985286483841;0.18227205041327388;0.3565240072703937;0.6434759852866603
Arsenal;3;1;Liverpool;04/02/2024;2.2;3.6;3.1;1.67;2.15;0.38103035127048346;0.23034327166715635;0.38862493763395267;0.600933137773225;0.3990660732058853
Brentford;1;3;Manchester City;05/02/2024;7.0;4.75;1.4;1.57;2.35;0.1881808104948732;0.20820477995966388;0.6036065701758483;0.5750671111811028;0.42493235887398706
Manchester City;2;0;Everton;10/02/2024;1.18;8.0;13.0;1.44;2.7;0.837385543136904;0.11172138484488726;0.05070483404665681;0.6640441349091155;0.3359531703543948
Luton Town;1;3;Sheffield Utd;10/02/2024;1.75;3.75;4.75;1.85;2.05;0.7716741424174692;0.1309817234241213;0.09706551828636781;0.762013752182525;0.2379705396689042
Liverpool;3;1;Burnley;10/02/2024;1.17;8.0;17.0;1.33;3.4;0.8137426052392305;0.12506762787850634;0.06106838473794764;0.6425379433229624;0.35746023430927865
Wolves;0;2;Brentford;10/02/2024;2.1;3.6;3.4;1.75;2.05;0.37336006913767616;0.2777932724484;0.34884659007462626;0.3908939400198658;0.6091060439745162
Fulham;3;1;Bournemouth;10/02/2024;2.38;3.5;2.8;1.73;2.08;0.5986979053721276;0.212051861079644;0.18924399838094683;0.5584387000131803;0.44156090621858257
Tottenham;2;1;Brighton;10/02/2024;1.8;4.2;3.8;1.4;2.88;0.5290831224525945;0.2109133471274157;0.25999506697883984;0.6525661940191085;0.34743173184884957
Nott'ham Forest;2;3;Newcastle Utd;10/02/2024;3.3;3.75;2.05;1.7;2.1;0.25193590364324703;0.22837447523892518;0.5196870232420685;0.5578379795825688;0.4421616326871016
West Ham;0;6;Arsenal;11/02/2024;6.0;4.33;1.53;1.67;2.15;0.29546285597800703;0.23195931478760698;0.47257598177250115;0.5735780557141068;0.42642143182634573
Aston Villa;1;2;Manchester Utd;11/02/2024;2.15;3.75;3.1;1.53;2.4;0.4849568256237916;0.23534375148227116;0.27969787518356193;0.5471189836544783;0.4528806968074621
Crystal Palace;1;3;Chelsea;12/02/2024;4.2;3.8;1.85;1.86;2.04;0.3298334440012024;0.2789768196565704;0.3911896716054787;0.3805123717335417;0.6194876155784728
Brentford;1;4;Liverpool;17/02/2024;5.5;4.33;1.57;1.48;2.6;0.2354463309615439;0.22593651139396467;0.5386142378705737;0.5495214649234585;0.4504782081821627
Newcastle Utd;2;2;Bournemouth;17/02/2024;1.83;4.2;3.75;1.48;2.6;0.7227920872265832;0.15940873613942746;0.11773355651267553;0.6672013043555959;0.33279601461549657
Tottenham;1;2;Wolves;17/02/2024;1.53;4.75;5.25;1.44;2.7;0.6126420663433365;0.2147817537210592;0.17257156095924536;0.5162440431026595;0.48375577685777404
Burnley;0;5;Arsenal;17/02/2024;10.0;5.75;1.29;1.57;2.35;0.18076768190436748;0.20870765535945518;0.6105176699933216;0.5575934113791082;0.44240620896435623
Fulham;1;2;Aston Villa;17/02/2024;2.9;3.75;2.2;1.6;2.3;0.3860803851823698;0.24307876058289532;0.37084024186190634;0.5389035311284265;0.461096199802954
Nott'ham Forest;2;0;West Ham;17/02/2024;2.38;3.5;2.9;1.89;2.01;0.34213083349552964;0.25061698103239805;0.4072517959308519;0.49925981790375507;0.5007400513530954
Manchester City;1;1;Chelsea;17/02/2024;1.33;5.5;8.0;1.44;2.7;0.7109422870292191;0.17354828187724622;0.11548337721138072;0.5867654515967238;0.41323390174267205
Sheffield Utd;0;5;Brighton;18/02/2024;5.0;4.2;1.62;1.57;2.35;0.15979804757780983;0.17945552729969053;0.6607105719917676;0.6652615428194547;0.3347358965961081
Luton Town;1;2;Manchester Utd;18/02/2024;4.0;4.0;1.8;1.57;2.35;0.33066175072707854;0.22150748903831816;0.4478274404800757;0.6409981654295834;0.3590001944844715
Everton;1;1;Crystal Palace;19/02/2024;1.7;3.6;5.25;2.1;1.7;0.3851118419458144;0.2860682419774139;0.32881987836593374;0.34856198729928295;0.6514380065032837
Manchester City;1;0;Brentford;20/02/2024;1.18;8.0;13.0;1.33;3.4;0.7634538723751546;0.1445888652112065;0.09186785484228031;0.6602336937992206;0.3397640125193513
Liverpool;4;1;Luton Town;21/02/2024;1.2;7.0;13.0;1.3;3.5;0.840256646015879;0.09820412366716214;0.06073000719818637;0.8028160265707112;0.19715069962615783
Manchester Utd;1;2;Fulham;24/02/2024;1.57;4.33;5.5;1.57;2.35;0.5255526310917575;0.23074345919542077;0.24370192423958287;0.5289462064638093;0.47105357668367476
Crystal Palace;3;0;Burnley;24/02/2024;1.95;3.5;4.0;2.1;1.7;0.5088335559512653;0.2609374522012686;0.230228657954227;0.39285202702135225;0.6071479569556973
Brighton;1;1;Everton;24/02/2024;1.83;3.8;4.2;1.65;2.2;0.6141584913898462;0.21201132203958042;0.1738250308913656;0.5251438246372142;0.47485597146619696
Aston Villa;4;2;Nott'ham Forest;24/02/2024;1.53;4.5;5.75;1.57;2.35;0.6489083199252427;0.192770649256585;0.15830670083161702;0.5886151310783482;0.4113842349289235
Bournemouth;0;1;Manchester City;24/02/2024;7.0;5.25;1.4;1.48;2.6;0.0898696045242657;0.1395173943095289;0.7704949059438663;0.6815070708465287;0.3184895795794471
