Modèle 1 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Liverpool;4;2;Newcastle Utd;01/01/2024;1.45;4.5;7.0;1.44;2.7;0.6079858289063678;0.2012350523421944;0.19076223917916746;0.6393512663822186;0.3606466578525328
West Ham;0;0;Brighton;02/01/2024;2.45;3.75;2.75;1.6;2.3;0.44703824378103524;0.2415034950960121;0.3114568225052208;0.5688657541010859;0.43113366580714657
Burnley;1;1;Luton Town;12/01/2024;2.0;3.6;3.6;1.99;1.91;0.46797868417971134;0.24822541853993316;0.2837948756274807;0.5242302412625505;0.47576950392806716
Chelsea;1;0;Fulham;13/01/2024;1.6;4.2;5.25;1.62;2.25;0.5003890436246682;0.2637760403995455;0.23583444370275064;0.42942101659595494;0.5705789429950556
Newcastle Utd;2;3;Manchester City;13/01/2024;5.5;4.33;1.55;1.6;2.3;0.20723498507422286;0.2102905298764543;0.5824637766998729;0.6210366339678407;0.37896187396223907
Everton;0;0;Aston Villa;14/01/2024;2.8;3.5;2.45;1.73;2.08;0.24327593840444015;0.24350465429153556;0.5132178976602478;0.5139284400570515;0.4860713498374653
Manchester Utd;2;2;Tottenham;14/01/2024;2.2;3.75;3.0;1.48;2.6;0.3873701111258452;0.23696001014307447;0.37566818694602705;0.6064538892719045;0.3935449638186918
Arsenal;5;0;Crystal Palace;20/01/2024;1.3;5.75;9.0;1.73;2.08;0.6817663134175366;0.19054719206134763;0.12767126090235306;0.5623848564031794;0.4376146282530836
Brentford;3;2;Nott'ham Forest;20/01/2024;1.91;3.6;4.0;1.86;2.04;0.5581564256676004;0.22748559975764485;0.21435413701833078;0.551796657727479;0.44820291783332594
Sheffield Utd;2;2;West Ham;21/01/2024;3.4;3.3;2.2;2.05;1.75;0.1500910223889523;0.20703228170121446;0.6428686032640119;0.5391061880295593;0.4608934760579462
Bournemouth;0;4;Liverpool;21/01/2024;4.2;4.5;1.7;1.44;2.7;0.11762544281490186;0.15969634658962184;0.7225977933557794;0.685307505488585;0.31468772451398724
Brighton;0;0;Wolves;22/01/2024;1.65;4.33;5.0;1.62;2.25;0.5462113427098847;0.25056184606034326;0.20322580342963803;0.44635312793522786;0.5536468151909448
Nott'ham Forest;1;2;Arsenal;30/01/2024;7.5;5.0;1.4;1.62;2.25;0.15975056349730915;0.18309146614058686;0.6571199629142642;0.6709612219555945;0.3290351029587556
Fulham;0;0;Everton;30/01/2024;2.45;3.2;3.0;2.05;1.75;0.5417075217678554;0.2504676536361299;0.20782380781347295;0.4516452001430065;0.5483547366572908
Luton Town;4;0;Brighton;30/01/2024;4.2;4.2;1.75;1.65;2.2;0.2999761733620702;0.23153845908660095;0.4684824128596532;0.609973601735016;0.390025176116396
Crystal Palace;3;2;Sheffield Utd;30/01/2024;1.62;3.6;6.5;2.08;1.73;0.6409793979437681;0.21760433749928326;0.14141207092428312;0.479578378664119;0.5204215121085591
