teams,def_coef
Arsenal,-1.1200631820538811
Aston Villa,-0.8035917914627477
Bournemouth,-0.561546148782175
Brentford,-0.765332073315246
Brighton,-0.7945791072266529
Burnley,-0.5690987433368598
Chelsea,-0.8348987988984943
Crystal Palace,-0.7610288014457112
Everton,-0.7848911633621206
Fulham,-0.754580110736299
Liverpool,-1.1595892391711524
Luton Town,-0.46114334561684844
Manchester City,-1.255731103703756
Manchester Utd,-0.8508818677858263
Newcastle Utd,-0.8127603255430236
Nott'ham Forest,-0.6277825777131816
Sheffield Utd,-0.21538516137465838
Tottenham,-0.8019246178924265
West Ham,-0.7092785358784222
Wolves,-0.8166840308716953
