teams,def_coef
Arsenal,-1.153165461999746
Aston Villa,-0.9697384472839811
Bournemouth,-0.5489210831815072
Brentford,-0.9558528258335129
Brighton,-0.7599972172333493
Burnley,-0.404079004401206
Chelsea,-0.9400892017138234
Crystal Palace,-0.8929284323865476
Everton,-0.833273347425724
Fulham,-0.8600511174272366
Liverpool,-1.274555320926245
Luton Town,-0.6380433588044077
Manchester City,-1.26289852845676
Manchester Utd,-0.9844862276383283
Newcastle Utd,-1.1838643957601231
Nott'ham Forest,-0.797653130826429
Sheffield Utd,-0.3297346161049314
Tottenham,-0.7913119022388968
West Ham,-0.7084488123697149
Wolves,-0.8027389771395393
