teams,def_coef
Arsenal,-1.0023903292727718
Aston Villa,-0.8841189901340958
Bournemouth,-0.5665709122956915
Brentford,-0.8610068675894746
Brighton,-0.8345179859191036
Burnley,-0.7221505203017491
Chelsea,-1.0027589954281624
Crystal Palace,-0.857408983662849
Everton,-0.7835715765031086
Fulham,-0.7962946729312991
Liverpool,-1.2019325291061673
Luton Town,-0.5361227469022921
Manchester City,-1.2861942909805637
Manchester Utd,-0.8988023982565679
Newcastle Utd,-0.8955506259479946
Nott'ham Forest,-0.6332814280770911
Sheffield Utd,-0.27431452930128813
Tottenham,-0.86869598539915
West Ham,-0.8352758265775083
Wolves,-0.8952580909490273
