teams,def_coef
Arsenal,-0.955471235198458
Aston Villa,-0.7369754115286135
Bournemouth,-0.40970179295649667
Brentford,-0.6421854438448209
Brighton,-0.7189065568002252
Burnley,-0.6274211447252745
Chelsea,-0.9056033666583139
Crystal Palace,-0.6707225937241216
Everton,-0.6240789281818409
Fulham,-0.7552086275100395
Liverpool,-0.998339300667852
Luton Town,-0.3071032791581939
Manchester City,-1.2668478862479882
Manchester Utd,-0.6857853026219349
Newcastle Utd,-0.6641711569089828
Nott'ham Forest,-0.49662204169829716
Sheffield Utd,-0.17782046664208168
Tottenham,-0.6953239703349683
West Ham,-0.649556735513995
Wolves,-0.7218739657063069
