teams,def_coef
Arsenal,-1.0057131052042236
Aston Villa,-0.8700752415172086
Bournemouth,-0.5486602181882014
Brentford,-0.8516592882473965
Brighton,-0.8254092508962069
Burnley,-0.7049862425873852
Chelsea,-0.991465475399178
Crystal Palace,-0.849787032589556
Everton,-0.7791235663533229
Fulham,-0.7870723006691275
Liverpool,-1.1899147173644409
Luton Town,-0.48542916369649236
Manchester City,-1.2846441185526427
Manchester Utd,-0.8967099285115259
Newcastle Utd,-0.8762776113444513
Nott'ham Forest,-0.6142965244405018
Sheffield Utd,-0.29572022698926276
Tottenham,-0.866547916769073
West Ham,-0.792643863993031
Wolves,-0.879101406917409
