teams,def_coef
Arsenal,-1.014699716690209
Aston Villa,-0.9127160702978613
Bournemouth,-0.56982066382459
Brentford,-0.9861185343019431
Brighton,-0.8909933592957261
Burnley,-0.7632393976340044
Chelsea,-1.184718415751302
Crystal Palace,-0.9806197567717387
Everton,-0.7887861026682833
Fulham,-0.8886729164807565
Liverpool,-1.2380431885912777
Luton Town,-0.4532218132356952
Manchester City,-1.4509414093827966
Manchester Utd,-0.9295634389711283
Newcastle Utd,-1.0134594684742533
Nott'ham Forest,-0.724669835697477
Sheffield Utd,-0.216318819469518
Tottenham,-1.0023360281831832
West Ham,-0.8858564622224596
Wolves,-0.970640085291177
