teams,def_coef
Arsenal,-0.9877437025728977
Aston Villa,-1.0365976712740126
Bournemouth,-0.5884016395505108
Brentford,-0.9930132154854701
Brighton,-0.8290367667092748
Chelsea,-0.9683499867355286
Crystal Palace,-0.9560844814704345
Everton,-0.7596341231707261
Fulham,-0.8684166293609186
Leeds United,-0.47937302970213563
Leicester City,-0.6084329905526565
Liverpool,-1.0377811819758191
Manchester City,-1.3197340857877886
Manchester Utd,-1.0932305822027648
Newcastle Utd,-1.2923679760100215
Nott'ham Forest,-0.6181330276237039
Southampton,-0.5711919651234156
Tottenham,-0.6243527927838052
West Ham,-0.8131052807634424
Wolves,-0.8273959377841329
